# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_MovieWBTunePreset1, Description: Movie WB Tune Preset1, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBTunePreset2, Description: Movie WB Tune Preset2, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBTunePreset3, Description: Movie WB Tune Preset3, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBTunePreset4, Description: Movie WB Tune Preset4, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBTunePreset5, Description: Movie WB Tune Preset5, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBTunePreset6, Description: Movie WB Tune Preset6, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_MovieWBPresetProtect1, Description: Movie WBPreset Protect1, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBPresetProtect2, Description: Movie WBPreset Protect2, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBPresetProtect3, Description: Movie WBPreset Protect3, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBPresetProtect4, Description: Movie WBPreset Protect4, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBPresetProtect5, Description: Movie WBPreset Protect5, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBPresetProtect6, Description: Movie WBPreset Protect6, Type: kNkMAIDCapType_Unsigned, Operations: 22
